index,OBJECTID,INCKEY,COLDETKEY,REPORTNO,STATUS,ADDRTYPE,INTKEY,LOCATION,EXCEPTRSNC,EXCEPTRSND,SEVERITYCO,SEVERITYDE,COLLISIONT,PERSONCOUN,PEDCOUNT,PEDCYLCOUN,VEHCOUNT,INJURIES,SERIOUSINJ,FATALITIES,INCDATE,INCDTTM,JUNCTIONTY,SDOT_COLCO,SDOT_COLDE,INATTENTIO,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,PEDROWNOTG,SDOTCOLNUM,SPEEDING,ST_COLCODE,ST_COLDESC,SEGLANEKEY,CROSSWALKK,HITPARKEDC,geometry,near_str_index
65888,65889,79007,79007,2906084,Matched,Block,,EASTLAKE AVE E BETWEEN HARVARD AVE E AND FUHRMAN AVE E,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2007-11-23T00:00:00.000Z,11/23/2007 12:34:00 PM,Mid-Block (but intersection related),69,PEDALCYCLIST OVERTURNED IN ROAD,,0,Clear or Partly Cloudy,Dry,Daylight,Y,07327004,,45,Vehicle - Pedalcyclist,6078,0,N,POINT (1273599.974708959 241029.8313388675),6386.0
65930,65931,79403,79403,2904585,Matched,Intersection,27043,TROLL AVE N AND N 34TH ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2008-02-23T00:00:00.000Z,2/23/2008 9:05:00 AM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,Y,08054002,,45,Vehicle - Pedalcyclist,8824,0,N,POINT (1267245.477678463 240493.9652263224),1223.0
65937,65938,79011,79011,2795795,Matched,Intersection,37178,6TH AVE NW AND NW 87TH ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2007-09-28T00:00:00.000Z,9/28/2007 7:00:00 AM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Overcast,Wet,Daylight,Y,07271009,,45,Vehicle - Pedalcyclist,0,0,N,POINT (1263634.890282765 256189.8974023908),6059.0
65963,65964,80203,80203,2908029,Matched,Block,,2ND AVE BETWEEN UNIVERSITY ST AND UNION ST,,,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2008-03-17T00:00:00.000Z,3/17/2008 8:35:00 AM,Mid-Block (but intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",Y,0,Overcast,Dry,Daylight,Y,08077003,,45,Vehicle - Pedalcyclist,12162,0,N,POINT (1269384.209328651 225331.5899147987),17164.0
65974,65975,79937,79937,2898683,Matched,Intersection,29969,2ND AVE AND COLUMBIA ST,,,2b,Serious Injury Collision,Cycles,2,0,1,1,1,1,0,2008-04-09T00:00:00.000Z,4/9/2008,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Clear or Partly Cloudy,Dry,Daylight,Y,08100007,,45,Vehicle - Pedalcyclist,12042,0,N,POINT (1270271.923249558 223832.0001532584),5274.0
66104,67105,82272,82272,2623995,Matched,Intersection,24205,8TH AVE NW AND NW 67TH ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2008-11-30T00:00:00.000Z,11/30/2008 2:37:00 PM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Overcast,Wet,Daylight,Y,08335004,,45,Vehicle - Pedalcyclist,2504,0,N,POINT (1262868.684585974 250989.5379730612),6129.0
66141,67142,81079,81079,2794173,Matched,Intersection,34625,SEWARD PARK AVE S AND S BRIGHTON ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2008-09-18T00:00:00.000Z,9/18/2008 8:08:00 AM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Clear or Partly Cloudy,Dry,Daylight,,08262003,,45,Vehicle - Pedalcyclist,0,0,N,POINT (1286812.310082495 200840.6429457217),954.0
66203,67204,81359,81359,2882553,Matched,Intersection,30430,12TH AVE S AND S KING ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2008-05-16T00:00:00.000Z,5/16/2008 12:50:00 PM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,Y,08137009,,45,Vehicle - Pedalcyclist,16232,0,N,POINT (1274327.555381715 221785.0008551627),10120.0
66230,67231,82284,82284,2830021,Matched,Intersection,27167,UNIVERSITY WAY NE AND NE PACIFIC ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2008-01-04T00:00:00.000Z,1/4/2008,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Raining,Wet,Dark - Street Lights On,Y,08004004,,45,Vehicle - Pedalcyclist,0,522415,N,POINT (1275674.208311081 241847.4433717132),2203.0
66248,67249,82416,82416,2894797,Matched,Block,,NE RAVENNA EB BV BETWEEN NE 63RD ST AND NE RAVENNA BV OFF RP,,,1,Property Damage Only Collision,Cycles,3,0,1,1,0,0,0,2008-04-14T00:00:00.000Z,4/14/2008 10:00:00 AM,Mid-Block (not related to intersection),55,PEDALCYCLIST STRUCK MOTOR VEHICLE RIGHT SIDE SIDESWIPE,Y,0,Overcast,Dry,Daylight,,08105004,,45,Vehicle - Pedalcyclist,15745,0,N,POINT (1274087.51211746 249277.7696513087),13541.0
66279,67280,80957,80957,2894881,Matched,Block,,FREMONT AVE N BETWEEN N 36TH ST AND N 38TH ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2008-02-05T00:00:00.000Z,2/5/2008,Mid-Block (not related to intersection),56,PEDALCYCLIST STRUCK MOTOR VEHICLE LEFT SIDE SIDESWIPE,,0,Overcast,Wet,Daylight,,08036007,,45,Vehicle - Pedalcyclist,8358,0,N,POINT (1266647.413421839 241526.9393073767),15386.0
66312,67313,81365,81365,2803142,Matched,Intersection,25602,PHINNEY AVE N AND N 62ND ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2008-04-25T00:00:00.000Z,4/25/2008 9:50:00 PM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Clear or Partly Cloudy,Dry,Other,Y,08116037,,45,Vehicle - Pedalcyclist,3862,0,N,POINT (1265710.049068883 249508.4036355466),888.0
66332,67333,82159,82159,3287051,Matched,Intersection,25949,25TH AVE NE AND NE BLAKELEY ST,,,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2008-10-18T00:00:00.000Z,10/18/2008 8:12:00 PM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,08292006,,45,Vehicle - Pedalcyclist,0,524372,N,POINT (1278900.484922394 246480.058544457),210.0
66340,67341,82155,82155,2896986,Matched,Intersection,27109,BROOKLYN AVE NE AND NE 40TH ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2008-10-21T00:00:00.000Z,10/21/2008 9:20:00 AM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,,08295006,,45,Vehicle - Pedalcyclist,0,631432,N,POINT (1275415.350326821 242570.489516452),20332.0
66347,67348,81761,81761,3277336,Matched,Block,,12TH AVE BETWEEN E MADISON ST AND E PIKE ST,,,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2008-09-10T00:00:00.000Z,9/10/2008 8:00:00 AM,Mid-Block (not related to intersection),56,PEDALCYCLIST STRUCK MOTOR VEHICLE LEFT SIDE SIDESWIPE,,0,Clear or Partly Cloudy,Dry,Daylight,,08254006,,45,Vehicle - Pedalcyclist,10789,0,N,POINT (1274543.503669932 227311.3066528141),39.0
66412,67413,81374,81374,3277991,Matched,Intersection,25789,ROOSEVELT WAY NE AND NE 50TH ST,,,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2008-10-24T00:00:00.000Z,10/24/2008 5:30:00 PM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,Y,08298010,,45,Vehicle - Pedalcyclist,0,523566,N,POINT (1274752.641334146 246074.6052320302),7323.0
66418,67419,81371,81371,2882324,Matched,Intersection,29821,12TH AVE AND E TERRACE ST,,,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2008-05-02T00:00:00.000Z,5/2/2008,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,Y,08123012,,45,Vehicle - Pedalcyclist,10597,0,N,POINT (1274486.065461874 224284.2699777186),3992.0
66430,67431,81237,81237,2893010,Matched,Block,,LAKE CITY WAY NE BETWEEN NE 125TH ST AND NE 127TH ST,,,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2008-05-18T00:00:00.000Z,5/18/2008 5:27:00 PM,Mid-Block (not related to intersection),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Overcast,Dry,Daylight,Y,08139005,,45,Vehicle - Pedalcyclist,0,523060,N,POINT (1280729.433404267 266116.4105005562),23597.0
66519,67520,82296,82296,2898687,Matched,Block,,6TH AVE BETWEEN PINE ST AND OLIVE WAY,,,1,Property Damage Only Collision,Cycles,5,0,1,1,0,0,0,2008-04-09T00:00:00.000Z,4/9/2008,Mid-Block (not related to intersection),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Unknown,Unknown,Dusk,,08100009,,45,Vehicle - Pedalcyclist,25420,0,N,POINT (1269841.285361111 227087.6141725928),3237.0
66564,67565,80704,80704,2908162,Matched,Block,,S DEARBORN ST BETWEEN 6TH AVE S AND MAYNARD AVE S,,,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2008-05-18T00:00:00.000Z,5/18/2008 12:52:00 PM,Mid-Block (not related to intersection),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,,08139004,,45,Vehicle - Pedalcyclist,5805,0,N,POINT (1272214.297011539 220913.320406273),18564.0
66627,67628,82311,82311,2882251,Matched,Intersection,29050,BOYLSTON AVE E AND E OLIVE E WAY,,,2b,Serious Injury Collision,Cycles,2,0,1,1,1,1,0,2008-04-21T00:00:00.000Z,4/21/2008 6:38:00 PM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Raining,Wet,Daylight,Y,08112018,,45,Vehicle - Pedalcyclist,23232,0,N,POINT (1273038.029620394 229665.2279352248),3968.0
66675,67676,80982,80982,2802351,Matched,Block,,NE 45TH ST BETWEEN 7TH AVE NE AND 8TH W AVE NE,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2008-11-06T00:00:00.000Z,11/6/2008,Mid-Block (not related to intersection),23,"MOTOR VEHICLE STRUCK PEDALCYCLIST, LEFT SIDE SIDESWIPE",,0,Raining,Wet,Daylight,Y,08311017,,45,Vehicle - Pedalcyclist,7040,0,N,POINT (1274025.332853392 244767.4182866961),16053.0
66839,67840,81666,81666,3274187,Matched,Intersection,30482,2ND AVE AND JAMES ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2008-09-28T00:00:00.000Z,9/28/2008 1:30:00 PM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,,08272011,,45,Vehicle - Pedalcyclist,12032,0,N,POINT (1270583.694641873 223305.2345847189),134.0
66878,67879,81796,81796,3286833,Matched,Intersection,26605,8TH AVE NW AND NW 45TH ST,,,2b,Serious Injury Collision,Cycles,2,0,1,1,1,1,0,2008-11-23T00:00:00.000Z,11/23/2008 4:59:00 PM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Clear or Partly Cloudy,Dry,Dark - Street Lights On,Y,08328013,,45,Vehicle - Pedalcyclist,2280,0,N,POINT (1262712.39504981 245042.3817429841),6126.0
66930,67931,80867,80867,2881084,Matched,Intersection,26965,FREMONT AVE N AND N 42ND ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2008-03-06T00:00:00.000Z,3/6/2008,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Clear or Partly Cloudy,Dry,Daylight,Y,08066034,,45,Vehicle - Pedalcyclist,8396,0,N,POINT (1266674.953261867 243605.607341513),1243.0
66934,67935,82455,82455,3289079,Matched,Block,,2ND AVE BETWEEN UNION ST AND PIKE ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2008-11-21T00:00:00.000Z,11/21/2008 6:15:00 PM,Driveway Junction,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Raining,Wet,Dark - Street Lights On,Y,08326003,,45,Vehicle - Pedalcyclist,12168,0,N,POINT (1269167.241392419 225698.1291791648),135.0
66955,67956,81269,81269,2829495,Matched,Block,,ROOSEVELT WAY NE BETWEEN NE 47TH ST AND NE 50TH ST,,,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2008-03-31T00:00:00.000Z,3/31/2008 9:20:00 AM,Mid-Block (not related to intersection),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,,08091010,,45,Vehicle - Pedalcyclist,9118,0,N,POINT (1274743.822390139 245742.8497117013),13513.0
66981,67982,81403,81403,2826624,Matched,Intersection,29851,BOREN AVE AND STEWART ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2008-03-04T00:00:00.000Z,3/4/2008,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,08064007,,45,Vehicle - Pedalcyclist,13701,0,N,POINT (1270638.711345926 228645.0983981937),3430.0
67054,68055,80740,80740,2882505,Matched,Intersection,29861,CRAWFORD PL AND E PINE ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2008-05-04T00:00:00.000Z,5/4/2008,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Clear or Partly Cloudy,Dry,Daylight,Y,08125021,,45,Vehicle - Pedalcyclist,10348,0,N,POINT (1272237.122099563 227982.7903015018),1148.0
67076,68077,82595,82595,3277290,Matched,Intersection,25716,ROOSEVELT WAY NE AND NE 62ND ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2008-07-15T00:00:00.000Z,7/15/2008 7:49:00 AM,At Intersection (intersection related),69,PEDALCYCLIST OVERTURNED IN ROAD,,0,Clear or Partly Cloudy,Dry,Daylight,Y,08197004,,45,Vehicle - Pedalcyclist,9202,0,N,POINT (1274821.663286209 249136.9402111769),7358.0
67080,68081,82594,82594,2616707,Matched,Intersection,27153,EASTLAKE AVE E AND FUHRMAN AVE E,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2008-07-16T00:00:00.000Z,7/16/2008 9:34:00 AM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Clear or Partly Cloudy,Dry,Daylight,Y,08198005,,45,Vehicle - Pedalcyclist,6078,0,N,POINT (1273704.647989064 241221.0042030662),995.0
67110,68111,81418,81418,2829915,Matched,Intersection,24183,8TH AVE NW AND NW 70TH ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2008-07-21T00:00:00.000Z,7/21/2008 5:55:00 PM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,Y,08203031,,45,Vehicle - Pedalcyclist,3176,0,N,POINT (1262882.377001986 251637.319349736),4384.0
67128,68129,82071,82071,2908306,Matched,Intersection,29665,1ST AVE AND BROAD ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2008-03-26T00:00:00.000Z,3/26/2008 11:15:00 AM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,,08086005,,45,Vehicle - Pedalcyclist,13269,0,N,POINT (1265758.944812939 228731.1069742739),9679.0
67159,68160,82343,82343,2892007,Matched,Block,,S GENESEE ST BETWEEN 37TH AVE S AND 38TH AVE S,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2008-03-06T00:00:00.000Z,3/6/2008,Driveway Junction,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Overcast,Dry,Dark - Street Lights On,Y,08066001,,45,Vehicle - Pedalcyclist,0,0,N,POINT (1281916.299837485 209155.4770662338),22553.0
67256,68257,82082,82082,2617892,Matched,Block,,N 36TH ST BETWEEN FREMONT PL N AND FREMONT AVE N,,,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2008-05-14T00:00:00.000Z,5/14/2008 6:09:00 PM,Mid-Block (not related to intersection),54,PEDALCYCLIST STRUCK MOTOR VEHICLE REAR END,,0,Clear or Partly Cloudy,Dry,Daylight,,08135005,Y,45,Vehicle - Pedalcyclist,0,0,N,POINT (1266466.768685654 241311.4794031531),23609.0
67265,68266,82080,82080,C707628,Matched,Block,,ALKI TRL BETWEEN HARBOR AVE SW AND SW FLORIDA ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2008-07-16T00:00:00.000Z,7/16/2008 5:10:00 PM,Driveway Junction,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Clear or Partly Cloudy,Dry,Daylight,,08198049,,45,Vehicle - Pedalcyclist,4286,0,N,POINT (1260843.487463906 214144.4367513359),8336.0
67300,68301,82610,82610,2805294,Matched,Block,,WESTLAKE AVE N BETWEEN NEWELL ST AND NICKERSON ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2008-06-27T00:00:00.000Z,6/27/2008 8:40:00 PM,Mid-Block (not related to intersection),23,"MOTOR VEHICLE STRUCK PEDALCYCLIST, LEFT SIDE SIDESWIPE",,0,Clear or Partly Cloudy,Dry,Daylight,,08179005,,45,Vehicle - Pedalcyclist,20053,0,N,POINT (1267244.354094461 238957.8695447445),13993.0
67321,68322,80887,80887,2825337,Matched,Block,,ALKI AVE SW BETWEEN MARINE AVE SW AND 59TH AVE SW,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2008-05-26T00:00:00.000Z,5/26/2008 5:30:00 PM,Mid-Block (not related to intersection),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Clear or Partly Cloudy,Dry,Daylight,Y,08147005,,45,Vehicle - Pedalcyclist,3634,0,N,POINT (1251919.407326758 215638.7134248614),8835.0
67337,68338,81158,81158,2795539,Matched,Intersection,27183,1ST AVE NE AND NE 45TH ST,,,2b,Serious Injury Collision,Cycles,5,0,1,1,1,1,0,2008-04-11T00:00:00.000Z,4/11/2008 12:32:00 PM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Clear or Partly Cloudy,Dry,Daylight,,08102004,,45,Vehicle - Pedalcyclist,6528,0,N,POINT (1272052.552243382 244821.6562387496),2312.0
67387,68388,84598,84598,2897200,Matched,Intersection,36974,24TH AVE NW AND NW 85TH ST,,,2b,Serious Injury Collision,Cycles,2,0,1,1,1,1,0,2008-07-22T00:00:00.000Z,7/22/2008 8:30:00 PM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Clear or Partly Cloudy,Dry,Daylight,,08204027,,45,Vehicle - Pedalcyclist,2246,0,N,POINT (1257648.442148626 255766.0274499655),5403.0
67393,68394,84210,84210,3287063,Matched,Intersection,26711,11TH AVE NW AND NW 45TH ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2008-11-03T00:00:00.000Z,11/3/2008,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Overcast,Wet,Daylight,Y,08308010,,45,Vehicle - Pedalcyclist,41860,0,N,POINT (1261580.185640648 245068.0060629994),31.0
67448,68449,82882,82882,2895617,Matched,Intersection,32116,HARBOR AVE SW AND SW SPOKANE NR ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2008-10-20T00:00:00.000Z,10/20/2008 7:58:00 AM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",Y,0,Raining,Wet,Daylight,,08294004,,45,Vehicle - Pedalcyclist,0,524810,N,POINT (1260954.943272009 212361.5148935169),8370.0
67452,68453,83022,83022,2899634,Matched,Block,,DEXTER AVE N BETWEEN HIGHLAND DR AND COMSTOCK ST,,,2,Injury Collision,Cycles,4,0,1,1,1,0,0,2008-07-30T00:00:00.000Z,7/30/2008 8:06:00 AM,Mid-Block (not related to intersection),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,Y,08212035,,45,Vehicle - Pedalcyclist,12797,0,N,POINT (1268370.450863615 233507.7053151727),8888.0
67455,68456,83553,83553,2826294,Matched,Block,,DEXTER AVE N BETWEEN 6TH AVE N AND WHEELER ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2008-11-25T00:00:00.000Z,11/25/2008 5:16:00 PM,Mid-Block (not related to intersection),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Overcast,Wet,Dark - Street Lights On,,08330034,,45,Vehicle - Pedalcyclist,0,522526,N,POINT (1267905.256687135 237334.5344390869),12081.0
67511,68512,84081,84081,2899108,Matched,Block,,12TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,,,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2008-09-03T00:00:00.000Z,9/3/2008,Mid-Block (not related to intersection),56,PEDALCYCLIST STRUCK MOTOR VEHICLE LEFT SIDE SIDESWIPE,Y,0,Clear or Partly Cloudy,Dry,Daylight,,08247012,,45,Vehicle - Pedalcyclist,10714,0,N,POINT (1274518.8026779 225966.6191634387),8515.0
67545,68546,84211,84211,3287142,Matched,Intersection,29863,MELROSE AVE AND PINE ST,,,2,Injury Collision,Cycles,4,0,1,1,1,0,0,2008-11-03T00:00:00.000Z,11/3/2008,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Raining,Wet,Dark - Street Lights On,Y,08308009,,45,Vehicle - Pedalcyclist,10336,0,N,POINT (1271813.802035138 227999.6394535303),897.0
67548,68549,83945,83945,2828765,Matched,Intersection,25423,14TH AVE NW AND NW MARKET ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2008-01-03T00:00:00.000Z,1/3/2008,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Raining,Wet,Dusk,Y,08003003,,45,Vehicle - Pedalcyclist,0,520757,N,POINT (1260938.171943992 247706.2063857019),7654.0
67569,68570,84611,84611,3281664,Matched,Block,,BEACON ER AVE S BETWEEN S ANGELINE ST AND S COLUMBIAN WAY,,,2,Injury Collision,Cycles,4,0,1,2,1,0,0,2008-10-17T00:00:00.000Z,10/17/2008 6:44:00 PM,Mid-Block (not related to intersection),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Dark - Street Lights On,Y,08291004,,45,Vehicle - Pedalcyclist,15929,0,N,POINT (1277208.996088654 207697.8138967305),8312.0
67618,68619,83827,83827,2798392,Matched,Intersection,29862,BELLEVUE AVE AND E PINE ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2008-05-18T00:00:00.000Z,5/18/2008 8:15:00 PM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Clear or Partly Cloudy,Dry,Dusk,Y,08139003,,45,Vehicle - Pedalcyclist,10342,0,N,POINT (1272084.808499411 227986.9833255112),633.0
67619,68620,83693,83693,3281916,Matched,Block,,RAINIER AVE S BETWEEN S KENNY ST AND S GRAHAM ST,,,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2008-11-24T00:00:00.000Z,11/24/2008 7:27:00 AM,Driveway Junction,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Overcast,Dry,Daylight,Y,08329001,,45,Vehicle - Pedalcyclist,23924,0,N,POINT (1283966.699007586 203029.5958439559),17387.0
67642,68643,83426,83426,2827948,Matched,Intersection,30136,15TH AVE AND E MADISON ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2008-05-02T00:00:00.000Z,5/2/2008,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,,08123013,Y,45,Vehicle - Pedalcyclist,22976,0,N,POINT (1275540.203574955 227657.8561571836),1117.0
67657,68658,84219,84219,2897979,Matched,Block,,GOLF DR S BETWEEN S CHARLES ST AND 14TH AVE S,,,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2008-03-28T00:00:00.000Z,3/28/2008 8:55:00 AM,Mid-Block (but intersection related),23,"MOTOR VEHICLE STRUCK PEDALCYCLIST, LEFT SIDE SIDESWIPE",,0,Snowing,Wet,Daylight,Y,08088001,,45,Vehicle - Pedalcyclist,14098,0,N,POINT (1274704.568502098 220075.2641494125),15387.0
67679,68680,82764,82764,3284280,Matched,Intersection,25159,17TH AVE NW AND BARNES AVE NW,,,2b,Serious Injury Collision,Cycles,2,0,1,1,1,1,0,2008-08-07T00:00:00.000Z,8/7/2008,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,Y,08220003,,45,Vehicle - Pedalcyclist,0,0,N,POINT (1259624.423462659 247281.2806892693),10414.0
67692,68693,84752,84752,2799018,Matched,Intersection,27106,15TH AVE NE AND NE 41ST ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2008-08-05T00:00:00.000Z,8/5/2008,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Dark - Street Lights On,Y,08218002,,45,Vehicle - Pedalcyclist,21313,0,N,POINT (1275999.922743425 243088.9660609812),15865.0
67732,68733,82767,82767,3283761,Matched,Intersection,24286,AURORA AVE N AND N 80TH ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2008-09-10T00:00:00.000Z,9/10/2008 1:07:00 PM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Clear or Partly Cloudy,Dry,Daylight,Y,08254007,,45,Vehicle - Pedalcyclist,27296,0,N,POINT (1268233.995567471 254229.6219443828),14053.0
